Interaction ID,Timestamp,User Query,Intent Detected,Bot Response,Response Time (ms),Prediction Accuracy (%),Entity Extraction Accuracy (%),User Sentiment,User Feedback,Conversation Success,User ID,User Type,Region,Device Type,Account Age (months),Is Premium,NPS_Score,NPS_Category
1,2020-01-28 14:41,What is your prediction for Bonds?,Financial Advice,Bonds remain a safe haven.,150,95,90,Positive,Helpful,Successful,U10166,Retail,Asia,Tablet,43,False,10,Promoter
2,2020-11-26 11:59,What is your prediction for Forex?,Price Check,Forex markets favor USD today.,155,94,91,Negative,Needs improvement,Failed,U10030,Retail,South America,Desktop,9,False,3,Detractor
3,2021-09-06 17:10,Any news on Gold?,Stock Prediction,Investors are flocking to Gold.,160,93,92,Negative,Needs improvement,Failed,U10253,Institutional,Asia,Mobile,4,True,3,Detractor
4,2022-09-14 16:14,Should I buy or sell WTI?,Strategy Advice,WTI is showing high volatility.,165,92,93,Neutral,Needs improvement,Failed,U10255,Retail,Europe,Mobile,49,False,7,Passive
5,2023-11-06 11:40,What's the trend with Tesla?,Strategy Advice,Tesla shows bullish signs.,170,91,94,Negative,Needs improvement,Failed,U10085,Retail,North America,Desktop,25,False,3,Detractor
6,2023-07-01 12:28,Should I buy or sell Crypto?,Forex Analysis,Crypto markets show mixed performance.,175,90,90,Positive,Helpful,Successful,U10228,Institutional,North America,Mobile,51,True,10,Promoter
7,2024-07-13 09:45,Analysis of Oil?,Price Check,Oil shows demand increase.,180,89,91,Positive,Helpful,Successful,U10081,Retail,Asia,Desktop,44,False,10,Promoter
8,2021-04-09 10:36,What's the price of GBP now?,Cryptocurrency Update,GBP trends show minor fluctuations.,185,88,92,Positive,Helpful,Successful,U10271,Institutional,Europe,Tablet,37,False,10,Promoter
9,2020-09-06 14:20,Should I buy or sell ETH?,Market Analysis,ETH is showing a downward trend.,190,87,93,Positive,Helpful,Successful,U10044,Institutional,Africa,Tablet,55,True,10,Promoter
10,2021-08-04 13:42,Give me an update on USD.,Investment Planning,USD is strengthening against other currencies.,195,86,94,Positive,Helpful,Successful,U10131,Retail,Europe,Mobile,57,True,10,Promoter
11,2023-09-21 14:38,What's the price of Tesla now?,Price Check,Tesla shows bullish signs.,150,95,90,Positive,Helpful,Successful,U10283,Retail,Europe,Mobile,55,False,10,Promoter
12,2023-10-13 10:22,What is your prediction for USD?,Stock Prediction,USD remains stable.,155,94,91,Neutral,Needs improvement,Failed,U10066,Institutional,Africa,Mobile,54,False,7,Passive
13,2022-08-20 11:52,What's the trend with Oil?,Strategy Advice,Oil prices are rising.,160,93,92,Positive,Helpful,Successful,U10135,Institutional,Europe,Mobile,23,False,10,Promoter
14,2022-10-19 10:43,What's your take on GOOGL?,Buy Order,GOOGL stock is slightly volatile.,165,92,93,Positive,Helpful,Successful,U10104,Retail,Europe,Mobile,27,False,10,Promoter
15,2021-06-04 12:19,Market outlook for ETH?,Forex Analysis,ETH is showing a downward trend.,170,91,94,Negative,Needs improvement,Failed,U10008,Institutional,Asia,Desktop,37,True,3,Detractor
16,2020-03-12 11:32,Market outlook for NASDAQ?,Future Investment,NASDAQ shows investor optimism.,175,90,90,Positive,Helpful,Successful,U10015,Retail,Europe,Mobile,37,False,10,Promoter
17,2023-07-20 11:36,What's the trend with Crypto?,Stock Prediction,Crypto markets show mixed performance.,180,89,91,Negative,Needs improvement,Failed,U10150,Retail,North America,Mobile,36,True,3,Detractor
18,2023-07-06 16:40,Market outlook for Oil?,Sell Order,Oil shows demand increase.,185,88,92,Positive,Helpful,Successful,U10070,Institutional,North America,Tablet,56,True,10,Promoter
19,2024-12-21 11:35,Market outlook for GOOGL?,Market Analysis,GOOGL remains a solid long-term pick.,190,87,93,Positive,Helpful,Successful,U10298,Retail,Asia,Tablet,53,True,10,Promoter
20,2021-08-10 11:11,What's the trend with MSFT?,Stock Prediction,MSFT outlook is positive this quarter.,195,86,94,Positive,Helpful,Successful,U10112,Retail,North America,Mobile,14,False,10,Promoter
21,2022-08-20 09:55,How is NASDAQ trending today?,Market Analysis,NASDAQ shows investor optimism.,150,95,90,Positive,Helpful,Successful,U10008,Institutional,Asia,Desktop,37,True,10,Promoter
22,2022-01-16 11:12,How is GBP trending today?,Risk Analysis,GBP is gaining against EUR.,155,94,91,Negative,Needs improvement,Failed,U10279,Institutional,Africa,Mobile,42,True,3,Detractor
23,2023-09-17 16:26,What is your prediction for USD?,Financial Advice,USD is strengthening against other currencies.,160,93,92,Positive,Helpful,Successful,U10251,Retail,Asia,Mobile,48,False,10,Promoter
24,2023-07-23 16:31,Should I buy or sell Forex?,Regulation Inquiry,Forex shows balanced trading.,165,92,93,Positive,Helpful,Successful,U10194,Retail,Asia,Mobile,17,False,10,Promoter
25,2021-02-19 09:50,What is your prediction for Equities?,Financial Advice,Equities are gaining after recent selloff.,170,91,94,Positive,Helpful,Successful,U10237,Retail,South America,Desktop,42,False,10,Promoter
26,2021-05-02 13:14,Analysis of Equities?,Financial Advice,Equity markets are stabilizing.,175,90,90,Neutral,Needs improvement,Failed,U10041,Institutional,North America,Mobile,35,False,7,Passive
27,2024-05-06 16:36,Give me an update on Equities.,Buy Order,Equities are gaining after recent selloff.,180,89,91,Positive,Helpful,Successful,U10086,VIP,Asia,Mobile,36,False,10,Promoter
28,2023-09-17 10:36,What's the price of Forex now?,Future Investment,Forex shows balanced trading.,185,88,92,Negative,Needs improvement,Failed,U10248,Institutional,Asia,Desktop,43,False,3,Detractor
29,2020-05-25 17:52,Should I diversify with USD?,Sell Order,USD remains stable.,190,87,93,Positive,Helpful,Successful,U10208,VIP,Europe,Desktop,52,True,10,Promoter
30,2022-09-27 09:48,What's your take on AAPL?,Sell Order,AAPL earnings beat expectations.,195,86,94,Negative,Needs improvement,Failed,U10041,Institutional,North America,Mobile,35,False,3,Detractor
31,2023-09-07 15:06,Give me an update on Tesla.,Sell Order,Tesla shows bullish signs.,150,95,90,Positive,Helpful,Successful,U10211,Institutional,North America,Mobile,30,False,10,Promoter
32,2021-05-28 09:28,Analysis of GOOGL?,Risk Analysis,GOOGL remains a solid long-term pick.,155,94,91,Positive,Helpful,Successful,U10134,Institutional,North America,Mobile,45,True,10,Promoter
33,2022-06-28 10:28,Any news on BTC?,Strategy Advice,"BTC is bullish, buying recommended.",160,93,92,Positive,Helpful,Successful,U10001,Retail,South America,Mobile,38,False,10,Promoter
34,2020-04-07 14:55,What is your prediction for GOOGL?,Buy Order,GOOGL remains a solid long-term pick.,165,92,93,Negative,Needs improvement,Failed,U10023,Institutional,Europe,Mobile,11,False,3,Detractor
35,2024-11-14 11:39,What's your take on NASDAQ?,Market Analysis,NASDAQ shows investor optimism.,170,91,94,Negative,Needs improvement,Failed,U10076,Retail,Middle East,Tablet,18,False,3,Detractor
36,2021-04-27 12:51,Should I diversify with GOOGL?,Financial Advice,GOOGL remains a solid long-term pick.,175,90,90,Positive,Helpful,Successful,U10250,Retail,North America,Mobile,43,False,10,Promoter
