Interaction ID,Timestamp,User Query,Intent Detected,Bot Response,Response Time (ms),Prediction Accuracy (%),Entity Extraction Accuracy (%),User Sentiment,User Feedback,Conversation Success,User ID,User Type,Region,Device Type,Account Age (months),Is Premium
1,1/28/2020 14:41,What is your prediction for Bonds?,Financial Advice,"BTC is bullish, buying recommended.",150,95,90,Neutral,Needs improvement,Failed,U10166,Retail,Asia,Tablet,43,FALSE
2,11/26/2020 11:59,What is your prediction for Forex?,Price Check,"ETH has a downward trend, selling might be an option.",155,94,91,Positive,Helpful,Successful,U10030,Retail,South America,Desktop,9,FALSE
3,9/6/2021 17:10,Any news on Gold?,Stock Prediction,Stock market shows mixed signals today.,160,93,92,Positive,Helpful,Successful,U10253,Institutional,Asia,Mobile,4,TRUE
4,9/14/2022 16:14,Should I buy or sell WTI?,Strategy Advice,Forex market indicates a strong USD.,165,92,93,Positive,Helpful,Successful,U10255,Retail,Europe,Mobile,49,FALSE
5,11/6/2023 11:40,What's the trend with Tesla?,Strategy Advice,Diversifying might reduce your risk.,170,91,94,Positive,Helpful,Successful,U10085,Retail,North America,Desktop,25,FALSE
6,7/1/2023 12:28,Should I buy or sell Crypto?,Forex Analysis,Gold prices are increasing.,175,90,90,Positive,Helpful,Successful,U10228,Institutional,North America,Mobile,51,TRUE
7,7/13/2024 9:45,Analysis of Oil?,Price Check,Risk level is moderate for this trade.,180,89,91,Positive,Helpful,Successful,U10081,Retail,Asia,Desktop,44,FALSE
8,4/9/2021 10:36,What's the price of GBP now?,Cryptocurrency Update,Balancing equities and commodities is wise.,185,88,92,Negative,Needs improvement,Failed,U10271,Institutional,Europe,Tablet,37,FALSE
9,9/6/2020 14:20,Should I buy or sell ETH?,Market Analysis,Future contracts in energy sector look promising.,190,87,93,Positive,Helpful,Successful,U10044,Institutional,Africa,Tablet,55,TRUE
10,8/4/2021 13:42,Give me an update on USD.,Investment Planning,Short-term trading strategy is trending.,195,86,94,Positive,Helpful,Successful,U10131,Retail,Europe,Mobile,57,TRUE
11,9/21/2023 14:38,What's the price of Tesla now?,Price Check,"BTC is bullish, buying recommended.",150,95,90,Positive,Helpful,Successful,U10283,Retail,Europe,Mobile,55,FALSE
12,10/13/2023 10:22,What is your prediction for USD?,Stock Prediction,"ETH has a downward trend, selling might be an option.",155,94,91,Negative,Needs improvement,Failed,U10066,Institutional,Africa,Mobile,54,FALSE
13,8/20/2022 11:52,What's the trend with Oil?,Strategy Advice,Stock market shows mixed signals today.,160,93,92,Neutral,Needs improvement,Failed,U10135,Institutional,Europe,Mobile,23,FALSE
14,10/19/2022 10:43,What's your take on GOOGL?,Buy Order,Forex market indicates a strong USD.,165,92,93,Negative,Needs improvement,Failed,U10104,Retail,Europe,Mobile,27,FALSE
15,6/4/2021 12:19,Market outlook for ETH?,Forex Analysis,Diversifying might reduce your risk.,170,91,94,Positive,Helpful,Successful,U10008,Institutional,Asia,Desktop,37,TRUE
16,3/12/2020 11:32,Market outlook for NASDAQ?,Future Investment,Gold prices are increasing.,175,90,90,Positive,Helpful,Successful,U10015,Retail,Europe,Mobile,37,FALSE
17,7/20/2023 11:36,What's the trend with Crypto?,Stock Prediction,Risk level is moderate for this trade.,180,89,91,Positive,Helpful,Successful,U10150,Retail,North America,Mobile,36,TRUE
18,7/6/2023 16:40,Market outlook for Oil?,Sell Order,Balancing equities and commodities is wise.,185,88,92,Positive,Helpful,Successful,U10070,Institutional,North America,Tablet,56,TRUE
19,12/21/2024 11:35,Market outlook for GOOGL?,Market Analysis,Future contracts in energy sector look promising.,190,87,93,Positive,Helpful,Successful,U10298,Retail,Asia,Tablet,53,TRUE
