Interaction ID,Timestamp,User Query,Intent Detected,Bot Response,Response Time (ms),Prediction Accuracy (%),Entity Extraction Accuracy (%),User Sentiment,User Feedback,Conversation Success,User ID,User Type,Region,Device Type,Account Age (months),Is Premium
1,1/28/2020 14:41,What is your prediction for Bonds?,Financial Advice,Bonds remain a safe haven.,150,95,90,Positive,Helpful,Successful,U10166,Retail,Asia,Tablet,43,FALSE
2,11/26/2020 11:59,What is your prediction for Forex?,Price Check,Forex markets favor USD today.,155,94,91,Negative,Needs improvement,Failed,U10030,Retail,South America,Desktop,9,FALSE
3,9/6/2021 17:10,Any news on Gold?,Stock Prediction,Investors are flocking to Gold.,160,93,92,Negative,Needs improvement,Failed,U10253,Institutional,Asia,Mobile,4,TRUE
4,9/14/2022 16:14,Should I buy or sell WTI?,Strategy Advice,WTI is showing high volatility.,165,92,93,Neutral,Needs improvement,Failed,U10255,Retail,Europe,Mobile,49,FALSE
5,11/6/2023 11:40,What's the trend with Tesla?,Strategy Advice,Tesla shows bullish signs.,170,91,94,Negative,Needs improvement,Failed,U10085,Retail,North America,Desktop,25,FALSE
6,7/1/2023 12:28,Should I buy or sell Crypto?,Forex Analysis,Crypto markets show mixed performance.,175,90,90,Positive,Helpful,Successful,U10228,Institutional,North America,Mobile,51,TRUE
7,7/13/2024 9:45,Analysis of Oil?,Price Check,Oil shows demand increase.,180,89,91,Positive,Helpful,Successful,U10081,Retail,Asia,Desktop,44,FALSE
8,4/9/2021 10:36,What's the price of GBP now?,Cryptocurrency Update,GBP trends show minor fluctuations.,185,88,92,Positive,Helpful,Successful,U10271,Institutional,Europe,Tablet,37,FALSE
9,9/6/2020 14:20,Should I buy or sell ETH?,Market Analysis,ETH is showing a downward trend.,190,87,93,Positive,Helpful,Successful,U10044,Institutional,Africa,Tablet,55,TRUE
10,8/4/2021 13:42,Give me an update on USD.,Investment Planning,USD is strengthening against other currencies.,195,86,94,Positive,Helpful,Successful,U10131,Retail,Europe,Mobile,57,TRUE
11,9/21/2023 14:38,What's the price of Tesla now?,Price Check,Tesla shows bullish signs.,150,95,90,Positive,Helpful,Successful,U10283,Retail,Europe,Mobile,55,FALSE
12,10/13/2023 10:22,What is your prediction for USD?,Stock Prediction,USD remains stable.,155,94,91,Neutral,Needs improvement,Failed,U10066,Institutional,Africa,Mobile,54,FALSE
13,8/20/2022 11:52,What's the trend with Oil?,Strategy Advice,Oil prices are rising.,160,93,92,Positive,Helpful,Successful,U10135,Institutional,Europe,Mobile,23,FALSE
14,10/19/2022 10:43,What's your take on GOOGL?,Buy Order,GOOGL stock is slightly volatile.,165,92,93,Positive,Helpful,Successful,U10104,Retail,Europe,Mobile,27,FALSE
15,6/4/2021 12:19,Market outlook for ETH?,Forex Analysis,ETH is showing a downward trend.,170,91,94,Negative,Needs improvement,Failed,U10008,Institutional,Asia,Desktop,37,TRUE
16,3/12/2020 11:32,Market outlook for NASDAQ?,Future Investment,NASDAQ shows investor optimism.,175,90,90,Positive,Helpful,Successful,U10015,Retail,Europe,Mobile,37,FALSE
17,7/20/2023 11:36,What's the trend with Crypto?,Stock Prediction,Crypto markets show mixed performance.,180,89,91,Negative,Needs improvement,Failed,U10150,Retail,North America,Mobile,36,TRUE
18,7/6/2023 16:40,Market outlook for Oil?,Sell Order,Oil shows demand increase.,185,88,92,Positive,Helpful,Successful,U10070,Institutional,North America,Tablet,56,TRUE
19,12/21/2024 11:35,Market outlook for GOOGL?,Market Analysis,GOOGL remains a solid long-term pick.,190,87,93,Positive,Helpful,Successful,U10298,Retail,Asia,Tablet,53,TRUE
20,8/10/2021 11:11,What's the trend with MSFT?,Stock Prediction,MSFT outlook is positive this quarter.,195,86,94,Positive,Helpful,Successful,U10112,Retail,North America,Mobile,14,FALSE
21,8/20/2022 9:55,How is NASDAQ trending today?,Market Analysis,NASDAQ shows investor optimism.,150,95,90,Positive,Helpful,Successful,U10008,Institutional,Asia,Desktop,37,TRUE
22,1/16/2022 11:12,How is GBP trending today?,Risk Analysis,GBP is gaining against EUR.,155,94,91,Negative,Needs improvement,Failed,U10279,Institutional,Africa,Mobile,42,TRUE
23,9/17/2023 16:26,What is your prediction for USD?,Financial Advice,USD is strengthening against other currencies.,160,93,92,Positive,Helpful,Successful,U10251,Retail,Asia,Mobile,48,FALSE
24,7/23/2023 16:31,Should I buy or sell Forex?,Regulation Inquiry,Forex shows balanced trading.,165,92,93,Positive,Helpful,Successful,U10194,Retail,Asia,Mobile,17,FALSE
25,2/19/2021 9:50,What is your prediction for Equities?,Financial Advice,Equities are gaining after recent selloff.,170,91,94,Positive,Helpful,Successful,U10237,Retail,South America,Desktop,42,FALSE
26,5/2/2021 13:14,Analysis of Equities?,Financial Advice,Equity markets are stabilizing.,175,90,90,Neutral,Needs improvement,Failed,U10041,Institutional,North America,Mobile,35,FALSE
27,5/6/2024 16:36,Give me an update on Equities.,Buy Order,Equities are gaining after recent selloff.,180,89,91,Positive,Helpful,Successful,U10086,VIP,Asia,Mobile,36,FALSE
28,9/17/2023 10:36,What's the price of Forex now?,Future Investment,Forex shows balanced trading.,185,88,92,Negative,Needs improvement,Failed,U10248,Institutional,Asia,Desktop,43,FALSE
29,5/25/2020 17:52,Should I diversify with USD?,Sell Order,USD remains stable.,190,87,93,Positive,Helpful,Successful,U10208,VIP,Europe,Desktop,52,TRUE
30,9/27/2022 9:48,What's your take on AAPL?,Sell Order,AAPL earnings beat expectations.,195,86,94,Negative,Needs improvement,Failed,U10041,Institutional,North America,Mobile,35,FALSE
31,9/7/2023 15:06,Give me an update on Tesla.,Sell Order,Tesla shows bullish signs.,150,95,90,Positive,Helpful,Successful,U10211,Institutional,North America,Mobile,30,FALSE
32,5/28/2021 9:28,Analysis of GOOGL?,Risk Analysis,GOOGL remains a solid long-term pick.,155,94,91,Positive,Helpful,Successful,U10134,Institutional,North America,Mobile,45,TRUE
33,6/28/2022 10:28,Any news on BTC?,Strategy Advice,"BTC is bullish, buying recommended.",160,93,92,Positive,Helpful,Successful,U10001,Retail,South America,Mobile,38,FALSE
34,4/7/2020 14:55,What is your prediction for GOOGL?,Buy Order,GOOGL remains a solid long-term pick.,165,92,93,Negative,Needs improvement,Failed,U10023,Institutional,Europe,Mobile,11,FALSE
35,11/14/2024 11:39,What's your take on NASDAQ?,Market Analysis,NASDAQ shows investor optimism.,170,91,94,Negative,Needs improvement,Failed,U10076,Retail,Middle East,Tablet,18,FALSE
36,4/27/2021 12:51,Should I diversify with GOOGL?,Financial Advice,GOOGL remains a solid long-term pick.,175,90,90,Positive,Helpful,Successful,U10250,Retail,North America,Mobile,43,FALSE
37,10/12/2020 17:17,Any news on MSFT?,Cryptocurrency Update,MSFT shows growth potential.,180,89,91,Positive,Helpful,Successful,U10164,Institutional,Europe,Tablet,53,FALSE
38,9/6/2024 14:45,What's the price of AAPL now?,Sentiment Analysis,AAPL stock remains steady.,185,88,92,Positive,Helpful,Successful,U10218,Retail,Asia,Desktop,57,FALSE
