Interaction ID,Timestamp,User Query,Intent Detected,Bot Response,Response Time (ms),Prediction Accuracy (%),Entity Extraction Accuracy (%),User Sentiment,User Feedback,Conversation Success
1,1/24/2020 13:15,What's the price of GBP now?,Buy Order,"BTC is bullish, buying recommended.",150,95,90,Neutral,Needs improvement,Failed
2,3/24/2021 10:43,What's your take on Equities?,Price Check,"ETH has a downward trend, selling might be an option.",155,94,91,Neutral,Needs improvement,Failed
3,2/19/2024 15:02,How is WTI trending today?,Strategy Advice,Stock market shows mixed signals today.,160,93,92,Negative,Needs improvement,Failed
4,2/7/2020 12:32,Any news on Bonds?,Forex Analysis,Forex market indicates a strong USD.,null,92,93,Positive,Helpful,Successful
5,1/18/2024 12:45,What is your prediction for USD?,Strategy Advice,Diversifying might reduce your risk.,170,91,94,Positive,Helpful,Successful
6,7/8/2024 16:37,Is XAU safe to invest in?,Market Analysis,Gold prices are increasing.,175,90,90,Positive,Helpful,Successful
7,1/25/2022 11:44,Give me an update on XAU.,Buy Order,Risk level is moderate for this trade.,180,89,91,Negative,Needs improvement,Failed
8,6/9/2023 11:13,Market outlook for Bonds?,Buy Order,Balancing equities and commodities is wise.,185,88,92,Negative,Needs improvement,Failed
9,2/3/2022 15:06,Any news on NASDAQ?,Strategy Advice,Future contracts in energy sector look promising.,190,87,93,Positive,Helpful,Successful
10,6/20/2022 13:51,Should I buy or sell Tesla?,Sentiment Analysis,Short-term trading strategy is trending.,195,86,94,Neutral,Needs improvement,Failed
11,12/15/2020 17:07,What's your take on GBP?,Risk Analysis,"BTC is bullish, buying recommended.",150,95,90,Positive,Helpful,Successful
12,2/18/2023 13:53,What's your take on NASDAQ?,Sell Order,"ETH has a downward trend, selling might be an option.",155,94,91,Positive,Helpful,Successful
13,6/19/2024 12:45,Any news on Commodities?,Cryptocurrency Update,Stock market shows mixed signals today.,160,93,92,Positive,Helpful,Successful
14,1/22/2020 12:49,What is your prediction for Oil?,Financial Advice,Forex market indicates a strong USD.,165,92,93,Negative,Needs improvement,Failed
15,2/28/2022 12:55,Should I buy or sell Equities?,Portfolio Management,Diversifying might reduce your risk.,170,91,94,Positive,Helpful,Successful
16,7/9/2020 16:40,Should I buy or sell Equities?,Sell Order,Gold prices are increasing.,175,  null,90,Positive,Helpful,Successful
